日本,动作 / 奇幻 / 冒险,2416人,04月19日,境·界
中国大陆,剧情 / 家庭,689人,04月20日,狗眼看人心
中国大陆,剧情,14991人,04月26日,撞死了一只羊
中国大陆,动作 / 犯罪 / 悬疑,7451人,04月26日,雪暴
中国大陆,剧情,19人,04月27日,武陵山上的星光
中国大陆,科幻 / 冒险,8954人,04月30日,动物出击
中国大陆,悬疑,58人,04月30日,九克拉战栗
中国大陆,剧情 / 悬疑,26人,04月30日,半镜
美国,剧情,6910人,04月,本回家了
印度,剧情 / 犯罪,3209人,04月,一个母亲的复仇
俄罗斯,动画 / 奇幻 / 冒险,2379人,04月,冰雪女王4：魔镜世界
中国大陆,剧情 / 历史 / 古装,739人,04月,进京城
中国大陆 / 香港,纪录片,3711人,05月01日,港珠澳大桥
中国大陆,动作 / 悬疑 / 冒险,520人,05月02日,国礼
中国大陆 / 印度,剧情,453人,05月10日,半边天
中国大陆,犯罪 / 悬疑 / 惊悚,1308人,05月17日,致命梦魇
美国,喜剧 / 动画 / 奇幻,1454人,05月31日,丑娃娃
西班牙 / 法国,剧情 / 悬疑,3640人,05月,人尽皆知
中国大陆,喜剧,179人,05月,毕业旅行之逍遥骑士
马来西亚,喜剧,81人,05月,大大哒
德国 / 比利时,动画 / 冒险 / 家庭,12人,05月,萌宠特工队
中国大陆,剧情 / 动作,2339人,06月14日,美丽战争
中国大陆,爱情 / 奇幻,695人,06月28日,回到过去拥抱你
中国大陆,动画 / 冒险,266人,06月,猫公主苏菲
中国大陆,喜剧 / 动作 / 冒险,2011人,07月05日,素人特工
中国大陆 / 香港,剧情 / 动作 / 犯罪,4321人,07月12日,扫毒2：天地对决
中国大陆,剧情 / 奇幻 / 古装,15366人,07月,画皮Ⅲ
中国大陆,喜剧 / 爱情,3233人,07月,皮皮虾总裁
中国大陆,奇幻,473人,07月,八仙过海
中国大陆,爱情 / 奇幻 / 古装,3741人,08月08日,诛仙
中国大陆,悬疑 / 惊悚 / 恐怖,645人,08月09日,凌晨两点半2
中国大陆,喜剧 / 动画 / 家庭,21人,08月,魔法鼠乐园
中国大陆,剧情 / 传记,1882人,09月30日,中国机长
中国大陆,奇幻 / 冒险,33461人,10月01日,摸金校尉之九幽将军
中国大陆,剧情,454人,10月01日,我和我的祖国
中国大陆,剧情 / 历史 / 战争,477人,10月,解放了
中国大陆,喜剧 / 悬疑,41649人,2020年01月25日,唐人街探案3
中国大陆,剧情 / 喜剧,5303人,2020年01月25日,囧妈
中国大陆,剧情 / 悬疑,3591人,2020年10月01日,黑色假面
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
